date,crime_count,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,year,Fri,Mon,Sat,Sun,Thu,Tue,Wed,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
2017-03-07,683,54.66666666666666,41.96666666666667,1008.3,984.9,9.666666666666666,19.83333333333333,28.7,42.66666666666666,63.833333333333336,44.43333333333334,0.2166666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-10-13,694,48.9,38.86666666666667,1024.9,1000.7666666666668,9.9,6.3,13.366666666666667,17.966666666666665,61.53333333333333,39.53333333333333,0.32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2018-06-08,774,63.96666666666666,55.86666666666667,1019.45,996.7333333333332,9.933333333333334,6.566666666666666,13.1,20.0,74.89999999999999,59.43333333333334,0.0833333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018-11-05,706,47.93333333333334,42.23333333333333,1011.55,988.5666666666666,9.466666666666669,10.2,17.033333333333335,27.0,52.3,44.1,0.3899999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019-08-26,730,70.89999999999999,63.6,1010.45,987.5666666666666,9.433333333333334,8.533333333333333,14.966666666666669,21.366666666666664,78.03333333333333,63.63333333333333,0.07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2019,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018-07-20,823,75.2,65.86666666666666,1005.5,983.2,9.566666666666666,10.9,16.933333333333334,23.33333333333333,83.66666666666667,68.43333333333334,0.0566666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2018-09-05,717,81.89999999999999,68.13333333333333,1017.7,995.7666666666668,10.0,9.066666666666666,16.0,23.0,91.43333333333334,72.63333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2017-02-21,679,59.23333333333333,50.3,1012.95,990.3666666666668,8.766666666666666,7.966666666666666,13.666666666666666,20.33333333333333,66.73333333333333,48.8,0.055,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2017,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-10-08,701,62.4,52.3,1016.6,994.0,9.966666666666669,6.766666666666667,15.033333333333331,20.666666666666668,78.10000000000001,50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-12-10,675,22.933333333333334,13.933333333333332,1016.95,992.3,9.866666666666667,13.233333333333334,20.33333333333333,30.7,41.63333333333333,14.666666666666666,0.0033333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2019,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
